ID,Borough,Name,Overall_Pop,Race_White,Race_Black,Race_Asian,Race_Latino,Race_Other,Age0to17,Age18to24,Age25to44,Age45to64,Age65plus,Ltd_Eng_Prof,lower_95CL,upper_95CL,NYC_Comparison,Born_Outside_US,lower_95CL,upper_95CL,School_Absent,NYC_Comparison,On_Time_HS_Grad,NYC_Comparison,Edu_Did_Not_Complete_HS,lower_95CL,upper_95CL,NYC_Comparison,Edu_HSGrad_Some_College,lower_95CL,upper_95CL,NYC_Comparison,Edu_College_Degree_And_Higher,lower_95CL,upper_95CL,NYC_Comparison,Poverty,Unemployment,lower_95CL,upper_95CL,NYC_Comparison,Rent_Burden,lower_95CL,upper_95CL,NYC_Comparison,Gentrification,Avertable_Death,Assault_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Jail_Incarceration,Helpful_Neighbor,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Homes_No_Defects,Homes_Roach,Homes_AC,Air_Pollution,Bike_Coverage,NYC_Comparison,Pedestrian_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Ratio_Bodega_Supermarket,Farmers_Markets,Late_No_Prenatal,NYC_Comparison,Preterm_Births,NYC_Comparison,Teen_Births,Teen_Births_reliability_note,NYC_Comparison,Child_Obesity,lower_95CL,upper_95CL,NYC_Comparison,Child_Asthma,lower_95CL,upper_95CL,NYC_Comparison,Avoidable_Child_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Self_Rep_Health,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Physical_Activity,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Sugary_Drink,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Fruit_Veg,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Smoking,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Uninsured,Uninsured_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Unmet_Med_Care,Unmet_Med_Care_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Avoidable_Adult_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Falls_Hosp,lower_95CL,upper_95CL,NYC_Comparison,HPV_Vaccination_All,HPV_Vaccination_Female,HPV_Vaccination_Male,Flu_Vaccination,Flu_Vaccination_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Obesity,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Diabetes,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Hypertension,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,HIV_Diagnoses,HIV_Diagnoses_reliability_note,HepC_Reports,Binge_Drink,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Psych_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Infant_Mort,Infant_Mort_reliability_note,NYC_Comparison,Premature_Mort_Number,Premature_Mort_Rate,NYC_Comparison,Life_Expectancy,lower_95CL,upper_95CL,NYC_Comparison
0,City,NYC,8537673,32,22,15,29,2,21,9,32,25,14,23,22.8,23.2,n/a,37,n/a,n/a,20,n/a,75,n/a,19,19,19.4,n/a,38,37.9,38.4,n/a,43,42.4,42.9,n/a,20,9,8.5,8.7,n/a,51,50.8,51.6,n/a,n/a,n/a,59,58.5,60.4,n/a,425,72,71,72.8,n/a,n/a,n/a,n/a,44,23,89,7.5,10,n/a,23,22.4,23.6,n/a,13,144,6.7,n/a,8.7,n/a,19.3,,n/a,20,19.8,20.7,n/a,223,220.3,225.6,n/a,623,602.8,644.1,n/a,78,77,78.6,n/a,n/a,n/a,n/a,73,72.2,73.9,n/a,n/a,n/a,n/a,23,22.3,24,n/a,n/a,n/a,n/a,87,86.8,88.1,n/a,n/a,n/a,n/a,14,13,14.4,n/a,n/a,n/a,n/a,12,,11.2,12.5,n/a,n/a,n/a,n/a,10,,9.6,10.8,n/a,n/a,n/a,n/a,1033,1025.7,1039.4,n/a,1604,1590.4,1618.1,n/a,59,63,56,43,,42.4,44.3,n/a,n/a,n/a,n/a,24,23,24.7,n/a,n/a,n/a,n/a,11,10.8,11.9,n/a,n/a,n/a,n/a,28,27.7,29.2,n/a,n/a,n/a,n/a,24,,71.8,17,16.4,18,n/a,n/a,n/a,n/a,676,670,682.5,n/a,4.4,,n/a,67175,169.5,n/a,81.2,81.1,81.3,n/a
1,NYC,Manhattan,1643734,47,12,12,26,2,15,9,37,24,15,16,15.2,15.9,n/a,29,n/a,n/a,18,n/a,73,n/a,13,12.6,13.4,n/a,23,22.3,23.2,n/a,64,63.6,64.9,n/a,14,7,6.6,7.2,n/a,45,43.7,45.4,n/a,n/a,n/a,49,47.1,51,n/a,407,70,67.6,72.1,n/a,n/a,n/a,n/a,48,20,93,9,29,n/a,21,19.2,21.8,n/a,9,48,4.9,n/a,8.3,n/a,12,,n/a,16,14.8,18,n/a,264,255.7,271.7,n/a,488,440.1,535.4,n/a,83,81.5,84.8,n/a,n/a,n/a,n/a,81,79.1,82.8,n/a,n/a,n/a,n/a,17,15.2,18.8,n/a,n/a,n/a,n/a,90,88,91,n/a,n/a,n/a,n/a,13,11,14.3,n/a,n/a,n/a,n/a,9,,7.2,10.1,n/a,n/a,n/a,n/a,10,,8.9,12,n/a,n/a,n/a,n/a,1072,1054.4,1089.2,n/a,1813,1781.6,1845.2,n/a,63,66,60,50,,47.6,52.5,n/a,n/a,n/a,n/a,15,13.9,16.9,n/a,n/a,n/a,n/a,8,6.9,8.9,n/a,n/a,n/a,n/a,23,21.4,24.9,n/a,n/a,n/a,n/a,28.5,,77.5,25,23.2,27.5,n/a,n/a,n/a,n/a,750,735.7,765.2,n/a,3.4,,n/a,10928,144.3,n/a,84.7,84.6,84.8,n/a
2,NYC,Bronx,1455720,9,30,4,56,1,25,11,29,24,12,26,25.6,26.4,n/a,35,n/a,n/a,29,n/a,68,n/a,29,28.3,29.3,n/a,45,44.5,45.7,n/a,26,25.6,26.5,n/a,25,13,12.3,13.1,n/a,58,56.9,58.6,n/a,n/a,n/a,113,109.5,115.8,n/a,670,67,64.7,69,n/a,n/a,n/a,n/a,32,35,83,7.8,12,n/a,28,25.9,29.1,n/a,15,24,10.9,n/a,9.7,n/a,28.4,,n/a,24,23.4,24.3,n/a,410,402.5,418.1,n/a,1254,1187.6,1321.1,n/a,73,71.4,75.3,n/a,n/a,n/a,n/a,70,67.7,71.9,n/a,n/a,n/a,n/a,32,29.7,34.1,n/a,n/a,n/a,n/a,83,81.7,85.2,n/a,n/a,n/a,n/a,14,12.7,15.9,n/a,n/a,n/a,n/a,12,,10.7,13.8,n/a,n/a,n/a,n/a,12,,10.5,13.4,n/a,n/a,n/a,n/a,2091,2062.8,2118.8,n/a,1677,1640,1713.8,n/a,70,73,66,49,,46.6,51.1,n/a,n/a,n/a,n/a,32,30.2,34.7,n/a,n/a,n/a,n/a,16,14.7,17.7,n/a,n/a,n/a,n/a,36,34.1,38,n/a,n/a,n/a,n/a,35.7,,99,14,12.5,15.7,n/a,n/a,n/a,n/a,853,835.9,870.7,n/a,5.4,,n/a,14853,229.4,n/a,80.9,80.8,81,n/a
3,NYC,Brooklyn,2629150,36,30,12,19,2,23,9,32,23,13,23,22.9,23.4,n/a,37,n/a,n/a,19,n/a,75,n/a,20,19.7,20.3,n/a,40,39.3,40.1,n/a,40,39.9,40.7,n/a,21,9,8.8,9.2,n/a,52,51.4,52.6,n/a,n/a,n/a,59,57,60.3,n/a,460,73,71,74.1,n/a,n/a,n/a,n/a,41,26,85,7.8,13,n/a,23,22.1,24.3,n/a,20,50,6.2,n/a,8.3,n/a,19.9,,n/a,19,18.5,20.1,n/a,186,181.4,189.7,n/a,502,471,533.7,n/a,77,75.6,78.2,n/a,n/a,n/a,n/a,72,70,73.1,n/a,n/a,n/a,n/a,24,22.1,25.1,n/a,n/a,n/a,n/a,86,85.1,87.6,n/a,n/a,n/a,n/a,14,12.6,15.1,n/a,n/a,n/a,n/a,12,,11,13.3,n/a,n/a,n/a,n/a,10,,9,11.2,n/a,n/a,n/a,n/a,1420,1402.8,1436.3,n/a,1526,1500.9,1551.1,n/a,43,47,41,38,,36.6,39.8,n/a,n/a,n/a,n/a,27,25,28,n/a,n/a,n/a,n/a,12,11,12.9,n/a,n/a,n/a,n/a,29,28,30.6,n/a,n/a,n/a,n/a,22.1,,67.9,15,13.8,16.4,n/a,n/a,n/a,n/a,684,672.5,695.5,n/a,3.6,,n/a,21770,184.1,n/a,82.9,82.8,83,n/a
4,NYC,Queens,2333054,25,18,26,28,2,20,9,30,27,14,29,28.6,29.2,n/a,48,n/a,n/a,15,n/a,81,n/a,19,19,19.7,n/a,42,41.6,42.4,n/a,39,38.2,39,n/a,19,8,7.6,8,n/a,53,52.1,53.8,n/a,n/a,n/a,37,35.2,38,n/a,315,73,71.5,75,n/a,n/a,n/a,n/a,52,19,92,7.2,6,n/a,19,18.4,20.5,n/a,10,18,7.9,n/a,8.5,n/a,15.3,,n/a,20,19.2,20.8,n/a,132,127.7,135.6,n/a,461,426.6,496.4,n/a,76,74.7,78,n/a,n/a,n/a,n/a,70,68.3,72,n/a,n/a,n/a,n/a,22,20,23.3,n/a,n/a,n/a,n/a,89,87.6,90.2,n/a,n/a,n/a,n/a,14,12.4,15.3,n/a,n/a,n/a,n/a,15,,13.3,16.2,n/a,n/a,n/a,n/a,10,,8.7,11.2,n/a,n/a,n/a,n/a,1028,1013.5,1042.5,n/a,1352,1328,1375.4,n/a,52,55,49,42,,39.9,43.7,n/a,n/a,n/a,n/a,22,20.5,23.8,n/a,n/a,n/a,n/a,11,10.2,12.5,n/a,n/a,n/a,n/a,28,26.5,29.6,n/a,n/a,n/a,n/a,17.8,,48.3,15,13.9,16.9,n/a,n/a,n/a,n/a,513,502.6,523.5,n/a,4,,n/a,15230,135.4,n/a,84.2,84.1,84.3,n/a
5,NYC,Staten Island,476015,62,10,9,18,2,22,9,26,28,15,11,10.3,11.1,n/a,22,n/a,n/a,19,n/a,81,n/a,11,10.6,11.6,n/a,50,48.6,50.5,n/a,39,38.4,40.3,n/a,17,6,5.8,6.6,n/a,49,46.9,51.2,n/a,n/a,n/a,59,54.7,62.8,n/a,395,83,78.9,85.9,n/a,n/a,n/a,n/a,66,5,94,6.8,4,n/a,34,31,37.2,n/a,12,4,2.5,n/a,8.6,n/a,12.5,,n/a,19,18.2,20.3,n/a,96,88.7,102.5,n/a,270,211.7,338.4,n/a,81,77.4,84.4,n/a,n/a,n/a,n/a,75,71.5,78.9,n/a,n/a,n/a,n/a,26,21.9,30.1,n/a,n/a,n/a,n/a,90,86.5,92.3,n/a,n/a,n/a,n/a,16,13.2,20.2,n/a,n/a,n/a,n/a,7,,5.2,10.4,n/a,n/a,n/a,n/a,8,,5.6,10.8,n/a,n/a,n/a,n/a,1066,1033.4,1097.8,n/a,2240,2174.2,2305.4,n/a,27,30,25,39,,34.8,42.5,n/a,n/a,n/a,n/a,25,21.7,28.8,n/a,n/a,n/a,n/a,8,6.2,9.6,n/a,n/a,n/a,n/a,25,21.9,27.7,n/a,n/a,n/a,n/a,12.8,,65.3,18,14.4,21.4,n/a,n/a,n/a,n/a,707,678.9,734.9,n/a,4.5,,n/a,4394,184.3,n/a,81.9,81.8,82.1,n/a
101,Manhattan,Financial District,63383,64,3,21,8,3,14,11,50,18,7,6,5.4,7,Lower,24,23,25.5,6,Lower,96,Higher,4,3.3,4.3,Lower,12,11,13,Lower,84,83,85.3,Higher,9,4,3.6,4.9,Lower,38,35.4,40.4,Lower,n/a,n/a,24,16.9,33.4,Lower,152,70,61.8,76.9,Similar,0.619,Similar,0.983,56,11,96,9.6,36,Higher,10,6.1,16.9,Lower,6,6,1.3,Lower,7.7,Lower,2.2,*,Lower,5,4,5.6,Lower,28,15.2,48.7,Lower,^,^,^,^,91,87.3,93.6,Higher,<0.001,Higher,<0.001,90,86,93.2,Higher,<0.001,Higher,<0.001,8,5,12.8,Lower,<0.001,Lower,<0.001,96,92.6,97.8,Higher,<0.001,Higher,<0.001,16,10.5,22.5,Similar,0.529,Similar,0.34,4,*,2.2,8.8,Lower,<0.001,Lower,0.022,7,*,4,13,Similar,0.194,Similar,0.212,698,598.6,797,Lower,2020,1770.3,2269,Higher,61,65,57,47,,39.7,53.9,Similar,0.366,Similar,0.419,4,2.4,6.2,Lower,<0.001,Lower,<0.001,3,1.9,6,Lower,<0.001,Lower,<0.001,15,11.7,19.9,Lower,<0.001,Lower,<0.001,22.1,,104.1,30,23.4,38.3,Higher,0.001,Similar,0.126,318,264.7,370.7,Lower,3.2,*,Lower,215,86.1,Lower,85.8,85.2,86.3,Higher
102,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,6,5.4,7,Lower,24,23,25.5,7,Lower,91,Higher,4,3.3,4.3,Lower,12,11,13,Lower,84,83,85.3,Higher,9,4,3.6,4.9,Lower,38,35.4,40.4,Lower,n/a,n/a,10,7.2,14.6,Lower,100,70,61.8,76.9,Similar,0.619,Similar,0.983,56,11,96,9.5,31,Higher,9,6,13,Lower,7,1,2,Lower,9.1,Higher,1,*,Lower,5,4.7,6.3,Lower,38,23.2,58.7,Lower,^,^,^,^,91,87.3,93.6,Higher,<0.001,Higher,<0.001,90,86,93.2,Higher,<0.001,Higher,<0.001,8,5,12.8,Lower,<0.001,Lower,<0.001,96,92.6,97.8,Higher,<0.001,Higher,<0.001,16,10.5,22.5,Similar,0.529,Similar,0.34,4,*,2.2,8.8,Lower,<0.001,Lower,0.022,7,*,4,13,Similar,0.194,Similar,0.212,426,380,472.6,Lower,1701,1570.5,1831.6,Similar,49,55,43,47,,39.7,53.9,Similar,0.366,Similar,0.419,4,2.4,6.2,Lower,<0.001,Lower,<0.001,3,1.9,6,Lower,<0.001,Lower,<0.001,15,11.7,19.9,Lower,<0.001,Lower,<0.001,16.4,,41.5,30,23.4,38.3,Higher,0.001,Similar,0.126,267,231.1,303.8,Lower,0.9,*,Lower,336,78.2,Lower,85.8,85.4,86.2,Higher
103,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,28,26.5,29.4,Higher,34,33.1,35.8,16,Lower,77,Similar,24,22.8,25.7,Higher,28,26.3,29,Lower,48,46.2,49.9,Higher,18,8,6.5,8.8,Similar,48,45.2,50.1,Lower,Gentrifying,18,42,36.8,48,Lower,449,66,59.7,72.2,Similar,0.075,Similar,0.222,36,36,89,8.9,37,Higher,20,15.5,23.5,Similar,18,4,5,Lower,8.2,Lower,10.1,,Lower,16,13.8,18.4,Lower,297,270.2,324.1,Higher,411,272.8,593.3,Lower,70,63.7,74.8,Lower,0.003,Lower,<0.001,77,71,81.5,Similar,0.16,Similar,0.113,16,12.1,22,Lower,0.007,Similar,0.747,88,83.9,91.8,Similar,0.657,Similar,0.593,20,15,25.9,Higher,0.023,Higher,0.007,11,,7,15.8,Similar,0.704,Similar,0.23,8,,5.3,13.1,Similar,0.368,Similar,0.395,1207,1150.2,1262.9,Higher,1837,1739.8,1934,Higher,68,73,63,47,,40.9,53.4,Similar,0.259,Similar,0.448,10,6.9,14,Lower,<0.001,Lower,0.002,11,7.7,14.8,Similar,0.675,Similar,0.068,22,17.9,27.2,Lower,0.009,Similar,0.799,15.2,,64.3,23,17.4,28.6,Similar,0.065,Similar,0.398,632,590.1,673.2,Similar,3,,Lower,1375,173,Similar,82.2,81.9,82.5,Higher
104,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,10,8.6,10.6,Lower,28,26.9,29.9,16,Lower,81,Higher,6,4.7,6.4,Lower,17,15.6,18.1,Lower,78,75.9,79.2,Higher,11,5,4.7,6,Lower,41,39,43.9,Lower,n/a,7,34,28.4,40.4,Lower,313,66,58.3,72.2,Similar,0.077,Similar,0.192,54,15,95,9.8,27,Higher,15,11.7,19.8,Lower,7,4,4.9,Lower,8.7,Similar,9.9,,Lower,14,11,16.8,Lower,169,137.1,201.2,Lower,^,^,^,^,86,81.5,90,Higher,<0.001,Similar,0.133,83,76.2,87.8,Higher,0.001,Similar,0.452,11,7.3,16.1,Lower,<0.001,Lower,0.004,91,86.2,94.6,Similar,0.072,Similar,0.357,11,7.4,15.4,Similar,0.15,Similar,0.308,11,,6.2,17.8,Similar,0.795,Similar,0.311,8,,4.8,12.3,Similar,0.198,Similar,0.216,820,762.2,877.5,Lower,1613,1493.4,1731.7,Similar,54,62,47,51,,44.1,58.2,Higher,0.033,Similar,0.619,10,7.2,14.4,Lower,<0.001,Lower,0.004,5,3.2,7.8,Lower,<0.001,Lower,0.02,18,13.9,22.3,Lower,<0.001,Lower,0.016,65.5,,144.9,31,24.8,38.4,Higher,<0.001,Similar,0.052,861,804.3,918.6,Higher,4,,Lower,687,122.9,Lower,83.1,82.8,83.5,Higher
105,Manhattan,Midtown,53120,67,4,19,8,2,7,12,45,22,13,10,8.6,10.6,Lower,28,26.9,29.9,19,Lower,92,Higher,6,4.7,6.4,Lower,17,15.6,18.1,Lower,78,75.9,79.2,Higher,11,5,4.7,6,Lower,41,39,43.9,Lower,n/a,^,25,17.7,34.9,Lower,297,66,58.3,72.2,Similar,0.077,Similar,0.192,54,15,95,11.3,27,Higher,18,11,26.7,Similar,11,4,2.5,Lower,6.7,Lower,4,,Lower,9,6.2,12.2,Lower,98,59.9,151.5,Lower,^,^,^,^,86,81.5,90,Higher,<0.001,Similar,0.133,83,76.2,87.8,Higher,0.001,Similar,0.452,11,7.3,16.1,Lower,<0.001,Lower,0.004,91,86.2,94.6,Similar,0.072,Similar,0.357,11,7.4,15.4,Similar,0.15,Similar,0.308,11,,6.2,17.8,Similar,0.795,Similar,0.311,8,,4.8,12.3,Similar,0.198,Similar,0.216,688,607.4,769.3,Lower,1668,1488.5,1848,Similar,63,77,49,51,,44.1,58.2,Higher,0.033,Similar,0.619,10,7.2,14.4,Lower,<0.001,Lower,0.004,5,3.2,7.8,Lower,<0.001,Lower,0.02,18,13.9,22.3,Lower,<0.001,Lower,0.016,18.8,*,79.1,31,24.8,38.4,Higher,<0.001,Similar,0.052,562,490.1,634.1,Lower,2.3,*,Lower,283,122.8,Lower,84.8,84.1,85.4,Higher
106,Manhattan,Stuyvesant Town and Turtle Bay,144591,71,3,16,8,2,8,11,41,23,18,6,5.1,6.9,Lower,22,21,23.7,8,Lower,91,Higher,3,2.3,3.6,Lower,15,13.2,16.2,Lower,82,79.9,84.7,Higher,10,4,3.1,4.6,Lower,42,38.3,44.8,Lower,n/a,n/a,35,29.6,41.2,Lower,180,75,67.8,80.5,Similar,0.389,Similar,0.151,60,14,95,10.2,21,Higher,20,16,24.8,Similar,7,2,2.3,Lower,7.8,Lower,1.5,*,Lower,7,5,8.9,Lower,93,71.9,119.3,Lower,^,^,^,^,90,85.3,93.4,Higher,<0.001,Higher,0.001,83,76.5,88.4,Higher,<0.001,Similar,0.364,11,7.2,16,Lower,<0.001,Lower,0.004,91,84.2,95.5,Similar,0.153,Similar,0.434,12,7.4,20.1,Similar,0.681,Similar,0.862,3,*,1.6,7,Lower,<0.001,Lower,0.001,8,,4.3,12.8,Similar,0.212,Similar,0.232,659,615.4,703.4,Lower,2019,1915.1,2123.5,Higher,57,65,48,57,,48.9,65.1,Higher,0.001,Similar,0.053,13,9.4,18.4,Lower,<0.001,Similar,0.331,4,2.4,6.3,Lower,<0.001,Lower,<0.001,22,17.9,27.2,Lower,0.009,Similar,0.822,14.5,,59.5,34,26.7,41.1,Higher,<0.001,Higher,0.016,1012,954.2,1070.4,Higher,2.1,*,Lower,611,93.3,Lower,85.9,85.6,86.2,Higher
107,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,9,7.6,9.9,Lower,23,21.3,23.8,14,Lower,83,Higher,6,5,6.6,Lower,16,15,17.3,Lower,78,76.4,79.7,Higher,9,5,4.5,6.1,Lower,40,37.5,42.5,Lower,n/a,n/a,25,20.6,28.7,Lower,211,71,64.4,76.5,Similar,0.75,Similar,0.735,53,11,94,8.5,30,Higher,16,12.6,18.8,Lower,3,5,3.2,Lower,7.8,Lower,7.1,,Lower,10,7,13.1,Lower,125,109.7,140.4,Lower,292,203.7,406.7,Lower,93,88.5,95.3,Higher,<0.001,Higher,<0.001,83,76.3,88.8,Higher,0.001,Similar,0.324,12,7.8,17.7,Lower,<0.001,Lower,0.025,92,85.6,95.2,Similar,0.085,Similar,0.327,10,6.4,15.6,Similar,0.112,Similar,0.196,5,*,2.5,8.2,Lower,<0.001,Lower,0.013,10,,5.8,15.2,Similar,0.788,Similar,0.809,754,716.4,791.2,Lower,1872,1792.2,1952.6,Higher,52,55,50,62,,54.2,68.5,Higher,<0.001,Higher,<0.001,10,6.5,14.3,Lower,<0.001,Lower,0.002,5,3.1,8.8,Lower,<0.001,Similar,0.059,21,16.1,26.9,Lower,0.006,Similar,0.466,15.4,,46.6,19,14.2,26,Similar,0.475,Similar,0.053,370,339.2,399.9,Lower,2.6,,Lower,1187,112.2,Lower,84.7,84.5,84.9,Higher
108,Manhattan,Upper East Side,225914,78,3,10,7,2,14,5,37,24,20,6,5.2,6.8,Lower,23,21.6,24.8,8,Lower,91,Higher,3,2.1,3.2,Lower,14,13,15.2,Lower,83,81.6,84.9,Higher,7,4,3.1,4.4,Lower,41,38.5,44.3,Lower,n/a,n/a,15,12.4,18.6,Lower,71,62,53.4,69.2,Lower,0.01,Lower,0.021,64,12,97,9.1,30,Higher,19,15.4,21.7,Lower,5,2,1.4,Lower,7.3,Lower,3.4,,Lower,6,4.7,7.6,Lower,49,39.8,58.8,Lower,179,110.8,273.6,Lower,89,83.6,93.3,Higher,<0.001,Higher,0.005,87,80.9,91.4,Higher,<0.001,Higher,0.011,13,8.8,19.8,Lower,<0.001,Similar,0.133,94,90.2,96.9,Higher,<0.001,Higher,0.001,8,4.8,11.6,Lower,<0.001,Lower,0.002,4,*,1.5,9.7,Lower,<0.001,Lower,0.016,7,,4.2,11.4,Similar,0.074,Similar,0.078,547,515.6,577.5,Lower,2098,2017,2178.2,Higher,55,57,52,55,,47.5,62.8,Higher,0.002,Similar,0.098,11,7.7,15.3,Lower,<0.001,Lower,0.012,4,2.2,5.9,Lower,<0.001,Lower,<0.001,15,11,21,Lower,<0.001,Lower,0.001,6.6,,24.3,29,23,36.6,Higher,<0.001,Similar,0.166,304,276,331.2,Lower,0.8,*,Lower,957,90.9,Lower,85.9,85.7,86.1,Higher
109,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,20,18.7,21.7,Lower,34,32.3,35.6,27,Higher,65,Lower,21,18.9,22.4,Similar,30,28.2,31.9,Lower,49,47.4,51.2,Higher,24,8,7.2,9.6,Similar,51,47.5,53.7,Similar,Gentrifying,25,57,49.4,65.3,Similar,633,73,66.1,79.1,Similar,0.697,Similar,0.331,37,33,86,8,20,Higher,21,16.3,27.2,Similar,11,3,11,Higher,8.2,Lower,10.9,,Lower,25,21,28.4,Higher,333,301.2,363.9,Higher,654,462.6,897.3,Similar,83,77.6,87.4,Higher,0.042,Similar,0.968,76,68.9,81.9,Similar,0.342,Similar,0.158,29,22.4,35.7,Similar,0.109,Higher,<0.001,88,82.8,92.4,Similar,0.703,Similar,0.695,17,11.7,24.6,Similar,0.276,Similar,0.165,11,,7.1,16.2,Similar,0.806,Similar,0.225,10,,6.9,15.7,Similar,0.878,Similar,0.836,1345,1263.3,1427.2,Higher,1232,1119,1345.9,Lower,66,68,64,45,,37.9,52.5,Similar,0.667,Similar,0.233,21,16.1,27.6,Similar,0.412,Higher,0.04,10,6.7,13.5,Similar,0.277,Similar,0.249,29,23.3,35.7,Similar,0.816,Higher,0.041,34.1,,50.3,21,15.7,28.3,Similar,0.212,Similar,0.252,726,668.9,783.4,Similar,4.5,,Similar,794,167.4,Similar,81.4,81,81.7,Similar
