ID,Borough,Name,Overall_Pop,Race_White,Race_Black,Race_Asian,Race_Latino,Race_Other,Age0to17,Age18to24,Age25to44,Age45to64,Age65plus,Ltd_Eng_Prof,lower_95CL,upper_95CL,NYC_Comparison,Born_Outside_US,lower_95CL,upper_95CL,School_Absent,NYC_Comparison,On_Time_HS_Grad,NYC_Comparison,Edu_Did_Not_Complete_HS,lower_95CL,upper_95CL,NYC_Comparison,Edu_HSGrad_Some_College,lower_95CL,upper_95CL,NYC_Comparison,Edu_College_Degree_And_Higher,lower_95CL,upper_95CL,NYC_Comparison,Poverty,Unemployment,lower_95CL,upper_95CL,NYC_Comparison,Rent_Burden,lower_95CL,upper_95CL,NYC_Comparison,Gentrification,Avertable_Death,Assault_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Jail_Incarceration,Helpful_Neighbor,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Homes_No_Defects,Homes_Roach,Homes_AC,Air_Pollution,Bike_Coverage,NYC_Comparison,Pedestrian_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Ratio_Bodega_Supermarket,Farmers_Markets,Late_No_Prenatal,NYC_Comparison,Preterm_Births,NYC_Comparison,Teen_Births,Teen_Births_reliability_note,NYC_Comparison,Child_Obesity,lower_95CL,upper_95CL,NYC_Comparison,Child_Asthma,lower_95CL,upper_95CL,NYC_Comparison,Avoidable_Child_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Self_Rep_Health,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Physical_Activity,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Sugary_Drink,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Fruit_Veg,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Smoking,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Uninsured,Uninsured_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Unmet_Med_Care,Unmet_Med_Care_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Avoidable_Adult_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Falls_Hosp,lower_95CL,upper_95CL,NYC_Comparison,HPV_Vaccination_All,HPV_Vaccination_Female,HPV_Vaccination_Male,Flu_Vaccination,Flu_Vaccination_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Obesity,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Diabetes,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Hypertension,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,HIV_Diagnoses,HIV_Diagnoses_reliability_note,HepC_Reports,Binge_Drink,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Boro_Comparison,Boro_Comparison_Pvalues,Psych_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Infant_Mort,Infant_Mort_reliability_note,NYC_Comparison,Premature_Mort_Number,Premature_Mort_Rate,NYC_Comparison,Life_Expectancy,lower_95CL,upper_95CL,NYC_Comparison
110,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,11,10.2,12.4,Lower,23,21.6,24.5,27,Higher,64,Lower,19,17.5,20.5,Similar,39,36.9,40.2,Similar,42,40.4,44.4,Similar,21,12,10.4,13.3,Higher,48,45.1,50.5,Lower,Gentrifying,50,116,105.2,127.2,Higher,1347,73,66.5,78.2,Similar,0.768,Similar,0.365,37,25,87,7.9,14,Higher,32,25.7,37.9,Higher,11,5,11,Higher,10.3,Higher,23,,Higher,21,19.5,22.6,Similar,545,510.1,580.1,Higher,886,689.4,1121.3,Higher,79,73.3,83.4,Similar,0.76,Similar,0.079,73,66.7,78.8,Similar,0.929,Lower,0.012,29,23,35,Similar,0.076,Higher,<0.001,84,78.2,88.4,Similar,0.16,Lower,0.024,10,6.4,14.8,Similar,0.069,Similar,0.152,8,,4.9,13,Similar,0.09,Similar,0.983,10,,6.7,15,Similar,1,Similar,0.952,2240,2137.1,2342.8,Higher,1333,1213.1,1452,Lower,67,68,66,44,,37.6,50.1,Similar,0.936,Similar,0.071,34,27.9,39.8,Higher,0.001,Higher,<0.001,12,9,16.2,Similar,0.713,Higher,0.012,35,29.7,40.4,Higher,0.017,Higher,<0.001,69.6,,99.7,17,12.7,23.2,Similar,0.977,Lower,0.005,993,928.2,1057.3,Higher,7.2,,Higher,1519,276.3,Higher,76.2,75.9,76.5,Lower
111,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,19,17.4,20.5,Lower,24,22.6,25.9,30,Higher,67,Lower,25,23.6,27.2,Higher,37,35.3,38.7,Similar,38,36,39.2,Lower,23,11,9.4,11.9,Higher,48,44.8,50.5,Lower,Gentrifying,42,130,119.1,141.8,Higher,1291,67,60.2,72.9,Similar,0.126,Similar,0.339,42,36,88,8.2,30,Higher,29,23.7,34.7,Higher,17,8,8.4,Higher,10.8,Higher,24.9,,Higher,23,21.5,25.2,Higher,580,545.6,614.9,Higher,1374,1116,1631.8,Higher,76,70.3,81.7,Similar,0.596,Lower,0.018,68,61.2,74.5,Similar,0.171,Lower,<0.001,29,23.4,36.2,Similar,0.058,Higher,<0.001,84,78.1,88.6,Similar,0.187,Lower,0.035,18,14,23.6,Similar,0.055,Higher,0.023,12,,8.2,17.4,Similar,0.773,Similar,0.074,14,,9.7,19.9,Similar,0.125,Similar,0.108,2262,2166.1,2358.7,Higher,1775,1653.1,1896.7,Higher,71,72,70,46,,39.3,53,Similar,0.456,Similar,0.342,28,22.2,33.8,Similar,0.181,Higher,<0.001,17,12.5,21.6,Higher,0.028,Higher,<0.001,34,28.4,39.7,Similar,0.059,Higher,<0.001,49.9,,129.5,18,13.1,24.1,Similar,0.803,Lower,0.014,1901,1813.4,1988.1,Higher,5.9,,Higher,1598,288.9,Higher,77.3,77,77.6,Lower
112,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,37,36,38.9,Higher,47,46.1,48.7,19,Lower,68,Lower,29,27.7,30.7,Higher,33,31.6,34.6,Lower,38,36.3,39.1,Lower,20,12,11.1,12.9,Higher,53,50.4,55.1,Similar,Gentrifying,12,43,37.5,47.7,Lower,482,80,73.8,84.8,Higher,0.004,Higher,<0.001,33,28,90,7.8,35,Higher,17,13.8,20.5,Lower,13,4,6.1,Lower,7.3,Lower,23.3,,Higher,24,21.7,26.8,Higher,226,207.4,244.8,Similar,587,456.2,744.7,Similar,68,61.6,73.9,Lower,0.001,Lower,<0.001,77,71.2,81.7,Similar,0.132,Similar,0.123,23,17.6,30.3,Similar,0.95,Higher,0.038,81,74.3,85.6,Lower,0.015,Lower,0.001,13,8.3,20.1,Similar,0.834,Similar,0.932,14,,9.8,18.9,Similar,0.313,Higher,0.008,17,,12.2,22.5,Higher,0.011,Higher,0.005,1339,1280.4,1397.4,Higher,1420,1333.2,1506.8,Lower,72,74,69,38,,31.9,44.5,Similar,0.087,Lower,<0.001,26,20.5,31.7,Similar,0.48,Higher,<0.001,13,9.6,17.1,Similar,0.456,Higher,0.003,28,22.9,33.8,Similar,0.897,Higher,0.044,31.1,,60.3,24,18.5,29.8,Higher,0.025,Similar,0.641,565,527.8,601.9,Lower,4.3,,Similar,1308,142,Lower,84,83.7,84.3,Higher
201,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,33,31.3,33.9,Higher,30,28.1,31,32,Higher,62,Lower,41,39.9,43,Higher,43,41.2,44.8,Higher,16,14.6,16.6,Lower,29,12,10.9,13.4,Higher,58,55.3,60.4,Higher,Gentrifying,45,186,170,201.4,Higher,1214,57,49.9,64.7,Lower,<0.001,Lower,0.007,24,40,74,8.6,18,Higher,43,35.6,51.2,Higher,25,3,11.3,Higher,9.5,Higher,35.1,,Higher,24,22.6,25,Higher,647,611.3,682.1,Higher,1760,1469.4,2050.3,Higher,72,64.9,78.2,Similar,0.076,Similar,0.615,65,56.9,72,Lower,0.036,Similar,0.182,29,22.7,37.3,Similar,0.088,Similar,0.512,82,73.8,87.7,Similar,0.096,Similar,0.597,15,9.6,21.7,Similar,0.742,Similar,0.915,14,,9.1,20.8,Similar,0.383,Similar,0.448,10,,6.5,15.7,Similar,0.988,Similar,0.406,3138,3000.1,3276.9,Higher,1632,1481.6,1782.9,Similar,84,88,80,56,,47.7,63.6,Higher,0.002,Similar,0.053,42,34.1,49.8,Higher,<0.001,Higher,0.011,20,15.4,26.6,Higher,0.002,Similar,0.117,38,31,44.6,Higher,0.008,Similar,0.567,43.7,,81.3,18,12.1,25.6,Similar,0.871,Similar,0.28,940,867.4,1011.9,Higher,5.1,,Higher,1192,302,Higher,77.6,77.1,78.1,Lower
202,Bronx,Hunts Point and Longwood,56144,1,21,1,76,1,28,12,29,21,10,33,31.3,33.9,Higher,30,28.1,31,35,Higher,58,Lower,41,39.9,43,Higher,43,41.2,44.8,Higher,16,14.6,16.6,Lower,29,12,10.9,13.4,Higher,58,55.3,60.4,Higher,Gentrifying,39,151,132.7,170.2,Higher,1036,57,49.9,64.7,Lower,<0.001,Lower,0.007,24,40,74,8.5,27,Higher,36,27.2,46.8,Higher,20,1,13,Higher,10.1,Higher,36.2,,Higher,26,24.7,27.2,Higher,432,393.6,471.3,Higher,1232,935.6,1592.8,Higher,72,64.9,78.2,Similar,0.076,Similar,0.615,65,56.9,72,Lower,0.036,Similar,0.182,29,22.7,37.3,Similar,0.088,Similar,0.512,82,73.8,87.7,Similar,0.096,Similar,0.597,15,9.6,21.7,Similar,0.742,Similar,0.915,14,,9.1,20.8,Similar,0.383,Similar,0.448,10,,6.5,15.7,Similar,0.988,Similar,0.406,2709,2535.7,2882,Higher,1361,1172.8,1550.2,Lower,85,89,82,56,,47.7,63.6,Higher,0.002,Similar,0.053,42,34.1,49.8,Higher,<0.001,Higher,0.011,20,15.4,26.6,Higher,0.002,Similar,0.117,38,31,44.6,Higher,0.008,Similar,0.567,58.8,,126.5,18,12.1,25.6,Similar,0.871,Similar,0.28,919,825.4,1013.1,Higher,4.2,*,Similar,596,261.6,Higher,78.9,78.3,79.5,Lower
203,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,27,25.4,27.7,Higher,31,30,32.7,34,Higher,63,Lower,36,34.6,37.7,Higher,45,43.3,46.7,Higher,19,17.7,20,Lower,31,16,14.8,17.4,Higher,60,57.9,62.6,Higher,Gentrifying,50,161,146,176.6,Higher,1243,62,56.4,67.8,Lower,0.001,Similar,0.092,27,42,74,7.8,29,Higher,34,26.9,41.7,Higher,10,1,13.1,Higher,10.7,Higher,35.6,,Higher,24,22.4,25.3,Higher,442,412,471.3,Higher,1348,1090.3,1606.1,Higher,69,63.5,74.2,Lower,0.001,Similar,0.08,68,61.7,73,Similar,0.068,Similar,0.478,34,28.6,40.3,Higher,<0.001,Similar,0.396,81,75.7,85.3,Lower,0.006,Similar,0.265,16,12.6,21,Similar,0.209,Similar,0.331,12,,8.2,16.2,Similar,0.927,Similar,0.888,15,,10.8,19.4,Higher,0.04,Similar,0.208,2957,2812.4,3101.4,Higher,1505,1344.3,1665.7,Similar,81,87,74,53,,47,58.7,Higher,0.002,Similar,0.115,36,29.9,42,Higher,<0.001,Similar,0.239,22,17.8,26.9,Higher,<0.001,Higher,0.009,32,26.7,36.9,Similar,0.219,Similar,0.101,51.3,,131,13,9.8,17.7,Lower,0.045,Similar,0.544,1435,1342.2,1527.5,Higher,6.4,,Higher,1186,312.9,Higher,76.2,75.8,76.6,Lower
204,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,35,32.9,36.7,Higher,42,40.5,43.9,28,Higher,67,Lower,36,33.7,37.3,Higher,43,41.5,45,Higher,21,19.9,22.6,Lower,32,13,11.4,14,Higher,61,58.2,63.5,Higher,Non-gentrifying,41,123,112.5,132.8,Higher,813,59,52.8,65.1,Lower,<0.001,Lower,0.009,19,44,81,8.3,14,Higher,27,22.4,32.4,Similar,18,4,12,Higher,9.3,Higher,34,,Higher,23,22.4,24.6,Higher,420,396.6,443.5,Higher,1356,1154.2,1557,Higher,72,65.6,77.8,Similar,0.055,Similar,0.598,65,58.2,71,Lower,0.014,Similar,0.126,34,27.7,40.2,Higher,0.001,Similar,0.519,83,76.9,87.1,Similar,0.055,Similar,0.72,15,11.3,20.6,Similar,0.455,Similar,0.643,13,,8.7,18.1,Similar,0.601,Similar,0.739,10,,6.8,14.1,Similar,0.871,Similar,0.235,2307,2211.9,2401.5,Higher,1257,1148.5,1364.5,Lower,78,79,76,51,,44.1,57.6,Higher,0.031,Similar,0.447,34,27.8,41.2,Higher,0.002,Similar,0.543,17,12.6,22.4,Higher,0.026,Similar,0.744,42,36.1,48.4,Higher,<0.001,Higher,0.029,39.8,,78.3,12,9.1,16.8,Lower,0.013,Similar,0.295,862,807.6,915.5,Higher,3.8,,Lower,1684,249.2,Higher,78.6,78.2,78.9,Lower
205,Bronx,Fordham and University Heights,136151,1,27,2,69,1,28,12,29,23,8,36,34.5,37.3,Higher,42,41,43.8,30,Higher,66,Lower,34,32.6,36,Higher,46,44.3,47.3,Higher,20,18.6,21.2,Lower,34,13,12.3,14.7,Higher,65,62.6,67.5,Higher,Non-gentrifying,40,126,114.8,136.9,Higher,1033,65,57.9,70.8,Lower,0.028,Similar,0.459,18,47,81,8.3,13,Higher,28,22.2,33.1,Similar,20,0,12,Higher,9.3,Higher,35.3,,Higher,24,23.5,25.3,Higher,405,381.1,429.5,Higher,1297,1088.8,1505.3,Higher,67,60.4,72.9,Lower,<0.001,Lower,0.029,67,60.7,73.2,Similar,0.078,Similar,0.44,33,27.2,40.2,Higher,0.002,Similar,0.613,78,71.4,83.4,Lower,0.002,Similar,0.06,16,11.7,21.9,Similar,0.329,Similar,0.474,14,,10.3,19.8,Similar,0.214,Similar,0.276,16,,11.1,21.7,Higher,0.038,Similar,0.147,2573,2457.3,2689.1,Higher,1168,1042.5,1294.2,Lower,83,85,81,46,,39.5,52.2,Similar,0.475,Similar,0.4,34,27.3,40.7,Higher,0.004,Similar,0.665,16,11.7,21.1,Similar,0.069,Similar,0.872,37,31.4,43.4,Higher,0.004,Similar,0.599,49.2,,88.1,14,10,19.7,Similar,0.206,Similar,0.91,961,899.9,1021.4,Higher,5.4,,Higher,1444,241.2,Higher,79.9,79.5,80.4,Lower
206,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,27,25.4,27.7,Higher,31,30,32.7,35,Higher,61,Lower,36,34.6,37.7,Higher,45,43.3,46.7,Higher,19,17.7,20,Lower,31,16,14.8,17.4,Higher,60,57.9,62.6,Higher,Gentrifying,46,152,137,168,Higher,1015,62,56.4,67.8,Lower,0.001,Similar,0.092,27,42,74,8,14,Higher,34,27.2,43,Higher,37,2,11.2,Higher,11.3,Higher,30.4,,Higher,24,23.1,25.7,Higher,464,432.8,495.7,Higher,1125,895.8,1394.2,Higher,69,63.5,74.2,Lower,0.001,Similar,0.08,68,61.7,73,Similar,0.068,Similar,0.478,34,28.6,40.3,Higher,<0.001,Similar,0.396,81,75.7,85.3,Lower,0.006,Similar,0.265,16,12.6,21,Similar,0.209,Similar,0.331,12,,8.2,16.2,Similar,0.927,Similar,0.888,15,,10.8,19.4,Higher,0.04,Similar,0.208,2855,2709.3,3001.4,Higher,2080,1887.8,2271.7,Higher,76,81,71,53,,47,58.7,Higher,0.002,Similar,0.115,36,29.9,42,Higher,<0.001,Similar,0.239,22,17.8,26.9,Higher,<0.001,Higher,0.009,32,26.7,36.9,Similar,0.219,Similar,0.101,43.4,,140.6,13,9.8,17.7,Lower,0.045,Similar,0.544,1160,1073.9,1245.8,Higher,5.8,,Higher,1060,306.6,Higher,77.7,77.2,78.1,Lower
207,Bronx,Kingsbridge Heights and Bedford,148163,6,18,7,67,1,26,11,31,23,9,36,34.1,38,Higher,44,42.3,45.5,28,Higher,70,Lower,32,30.1,34,Higher,45,43.3,47,Higher,23,21.2,24.4,Lower,26,14,12.5,15.9,Higher,61,58.2,64.3,Higher,Non-gentrifying,39,97,87.8,106.2,Higher,583,63,56.4,69.7,Lower,0.012,Similar,0.271,29,43,83,7.8,12,Higher,26,21.3,31.6,Similar,18,3,10.1,Higher,8.5,Similar,30.3,,Higher,25,23.6,25.7,Higher,451,425.6,477.1,Higher,1353,1143.3,1562.6,Higher,67,60.8,72.9,Lower,<0.001,Lower,0.028,68,62.2,73.8,Similar,0.119,Similar,0.662,29,23,35.1,Similar,0.074,Similar,0.297,84,79.2,88,Similar,0.126,Similar,0.759,12,8.1,16.2,Similar,0.296,Similar,0.149,16,,11,21.6,Similar,0.121,Similar,0.146,11,,7.6,15.7,Similar,0.678,Similar,0.621,2099,2004.7,2193.6,Higher,1802,1665.1,1938.8,Higher,75,77,74,48,,41.7,54.7,Similar,0.158,Similar,0.937,33,27,40.2,Higher,0.004,Similar,0.738,19,14.3,23.7,Higher,0.003,Similar,0.319,35,30.1,41,Higher,0.012,Similar,0.904,32.4,,63.4,12,8.4,16.5,Lower,0.008,Similar,0.19,719,669,769.1,Similar,3.6,,Lower,1394,214.6,Higher,79.4,79.1,79.7,Lower
208,Bronx,Riverdale and Fieldston,102927,34,12,6,47,2,20,9,28,25,18,22,20.5,23.8,Similar,34,32.5,35.5,20,Similar,79,Similar,18,16.5,19.7,Similar,37,35.1,38.9,Similar,45,43.1,46.7,Higher,15,9,8,10.8,Similar,52,48.8,54.8,Similar,n/a,31,40,32.8,47.1,Lower,225,77,69.5,83.1,Similar,0.141,Higher,0.003,39,24,91,7.5,2,Lower,17,12.6,22.3,Lower,10,4,5.8,Lower,8.9,Similar,13.1,,Lower,21,18,23.1,Similar,218,193.3,242.4,Similar,590,421.6,803.7,Similar,83,76.9,87.3,Similar,0.076,Higher,<0.001,72,63.7,79,Similar,0.825,Similar,0.512,20,13.8,27.2,Similar,0.303,Lower,<0.001,86,78,91.4,Similar,0.647,Similar,0.435,10,6.4,16.1,Similar,0.164,Similar,0.086,8,,4.6,14.7,Similar,0.223,Similar,0.149,12,,7.2,18.8,Similar,0.555,Similar,0.953,1250,1178.7,1322.1,Higher,2097,1975.4,2218.7,Higher,50,52,49,46,,38.2,53.9,Similar,0.54,Similar,0.535,24,17.8,31.1,Similar,0.971,Lower,0.011,12,7.3,19.9,Similar,0.792,Similar,0.185,28,22.2,35.7,Similar,0.982,Lower,0.029,18.5,,56.4,21,15.3,28.8,Similar,0.238,Higher,0.036,534,483.6,584.2,Lower,4.4,,Similar,824,170.4,Similar,80.9,80.7,81.2,Similar
209,Bronx,Parkchester and Soundview,184105,2,30,7,59,2,25,10,29,24,12,25,23.8,26.2,Higher,32,30.7,33.3,28,Higher,69,Lower,30,28.2,30.8,Higher,47,45.4,48.7,Higher,23,22.3,24.6,Lower,26,13,12.1,14.4,Higher,55,52.8,57.9,Higher,Non-gentrifying,35,100,91.4,108.2,Higher,603,65,58.8,70.3,Lower,0.016,Similar,0.424,41,38,81,7.6,15,Higher,26,21.4,30,Similar,13,2,9.4,Higher,10.6,Higher,26.4,,Higher,25,23.3,25.9,Higher,349,329,369.7,Higher,1230,1039.2,1421.7,Higher,72,66.2,77.1,Lower,0.028,Similar,0.516,73,66.7,77.9,Similar,0.947,Similar,0.258,39,33,45.3,Higher,<0.001,Higher,0.014,83,78.2,87.4,Similar,0.064,Similar,0.928,18,13.4,23.5,Similar,0.099,Similar,0.136,14,,10.5,18.9,Similar,0.198,Similar,0.256,13,,9.1,18.4,Similar,0.204,Similar,0.608,1631,1561.5,1700.2,Higher,1315,1222.6,1407.7,Lower,64,68,61,47,,40.8,52.8,Similar,0.282,Similar,0.551,32,26.1,37.8,Higher,0.007,Similar,0.851,16,11.8,20.5,Similar,0.057,Similar,0.78,34,29.3,39.1,Higher,0.023,Similar,0.492,33.1,,65.7,16,11.8,21.5,Similar,0.626,Similar,0.463,612,570.2,653.1,Lower,6,,Higher,1804,218.8,Higher,79.7,79.5,80,Lower
210,Bronx,Throgs Neck and Co-op City,121868,30,23,5,40,1,20,9,26,27,18,12,10.7,13.7,Lower,21,18.4,22.8,21,Higher,75,Similar,16,14.4,17.6,Lower,50,47.6,52.9,Higher,34,31.7,35.7,Lower,14,9,7.8,10.4,Similar,45,41,49.1,Lower,n/a,27,53,45.3,60.7,Similar,243,82,75.1,86.6,Higher,0.001,Higher,<0.001,50,13,93,7.5,6,Lower,17,12.7,21.3,Lower,7,1,7.9,Higher,11,Higher,13.3,,Lower,23,21.4,23.8,Higher,240,216.5,262.6,Similar,1023,796.3,1295.2,Higher,77,70.2,81.9,Similar,0.625,Similar,0.289,75,68,80,Similar,0.601,Similar,0.106,35,28,43.8,Higher,0.002,Similar,0.342,87,82.2,91.3,Similar,0.969,Similar,0.084,14,9.7,20.7,Similar,0.809,Similar,0.971,7,*,3.8,12.4,Lower,0.034,Lower,0.016,12,,7.3,19.7,Similar,0.515,Similar,0.964,1185,1121.1,1249.3,Higher,1740,1638.4,1842.3,Higher,45,47,42,48,,39.9,56.3,Similar,0.274,Similar,0.913,24,18.4,30.6,Similar,0.928,Lower,0.006,13,10,17.9,Similar,0.324,Similar,0.154,37,32.6,42,Higher,<0.001,Similar,0.487,15.6,,46.8,14,8.9,20.3,Similar,0.199,Similar,0.746,438,394.3,481.3,Lower,4.3,,Similar,1114,183.3,Higher,81.1,80.8,81.4,Similar
211,Bronx,Morris Park and Bronxdale,116180,24,21,9,45,1,22,9,30,24,14,24,22.5,24.8,Similar,35,33.2,36.2,23,Higher,74,Similar,24,22.2,25,Higher,44,42.9,45.6,Higher,32,30.7,33.6,Lower,21,12,10.9,13.4,Higher,55,51.8,57.4,Higher,n/a,32,64,55.7,72.7,Similar,372,76,69.6,81.3,Similar,0.169,Higher,0.002,47,21,86,7.4,10,Similar,18,14.2,23.4,Similar,17,1,10.4,Higher,9,Similar,19.7,,Similar,23,21.4,25,Higher,325,298.7,350.9,Higher,951,745.3,1195.6,Higher,80,74.5,85.1,Similar,0.392,Higher,0.011,74,66.3,79.7,Similar,0.844,Similar,0.235,29,22.5,36.2,Similar,0.103,Similar,0.399,83,76.8,87.9,Similar,0.112,Similar,0.878,15,10.4,21.2,Similar,0.625,Similar,0.814,12,,7.6,17.8,Similar,0.896,Similar,0.949,12,,7.7,17.5,Similar,0.509,Similar,0.919,1613,1531,1694.5,Higher,1940,1815.8,2065.1,Higher,58,61,55,44,,36.8,51.6,Similar,0.875,Similar,0.23,32,25.6,39.6,Higher,0.017,Similar,0.988,14,9.9,18.2,Similar,0.328,Similar,0.191,31,26.1,37.4,Similar,0.284,Similar,0.137,18.1,,85.2,10,6.4,14.3,Lower,<0.001,Lower,0.016,769,711.4,827.4,Higher,8.1,,Higher,1110,206.9,Higher,79.9,79.6,80.2,Lower
212,Bronx,Williamsbridge and Baychester,156542,6,65,2,25,2,24,10,27,26,13,10,8.7,10.3,Lower,40,38.4,41,29,Higher,70,Lower,20,18.4,21.1,Similar,48,46.8,50.1,Higher,32,30.5,33.2,Lower,23,13,11.9,14,Higher,57,54.2,59.8,Higher,n/a,27,82,73.3,89.9,Higher,577,71,65.1,76.6,Similar,0.814,Similar,0.137,42,35,87,7.5,6,Lower,23,18.8,27.5,Similar,8,2,13.6,Higher,10.2,Higher,24,,Higher,24,22.3,24.8,Higher,369,345.9,391.2,Higher,1142,936.6,1346.9,Higher,78,72.6,82.4,Similar,0.963,Similar,0.074,71,64.8,76.6,Similar,0.537,Similar,0.618,29,23.4,35.3,Similar,0.054,Similar,0.342,88,83.8,91.9,Similar,0.658,Higher,0.013,11,7.7,15.3,Similar,0.149,Similar,0.063,8,,5,12.3,Similar,0.051,Lower,0.024,10,,7.1,13.8,Similar,0.9,Similar,0.217,1891,1812.7,1969.8,Higher,1328,1233,1422.9,Lower,57,60,53,46,,39.7,51.8,Similar,0.474,Similar,0.352,30,24.3,36.2,Higher,0.041,Similar,0.43,14,10.7,18.3,Similar,0.18,Similar,0.253,39,33.3,44,Higher,<0.001,Similar,0.266,34.5,,51.1,15,10.8,20.8,Similar,0.389,Similar,0.784,669,622,715.9,Similar,7.7,,Higher,1476,202.3,Higher,81,80.7,81.4,Similar
301,Brooklyn,Greenpoint and Williamsburg,199190,61,5,6,26,2,23,10,41,17,9,22,21,23.1,Similar,24,22.7,24.5,21,Similar,77,Similar,17,15.6,17.8,Lower,33,31.8,34.8,Lower,50,48.4,51.7,Higher,17,6,5.4,6.9,Lower,48,45.9,50.4,Lower,Gentrifying,23,34,28.8,38.2,Lower,305,77,70.1,82.1,Similar,0.114,Similar,0.163,50,19,86,9.6,17,Higher,17,13.8,21.2,Lower,25,4,2.6,Lower,5.4,Lower,16,,Lower,23,19.9,26.5,Similar,136,123.2,149.5,Lower,172,114.9,246.4,Lower,79,73.8,83.5,Similar,0.661,Similar,0.355,66,59.8,72.6,Lower,0.049,Similar,0.102,18,13.2,23.8,Lower,0.046,Lower,0.038,91,85.7,93.9,Similar,0.14,Higher,0.033,17,12.5,23.6,Similar,0.19,Similar,0.184,7,,4.6,11,Lower,0.008,Lower,0.003,17,,12,23.3,Higher,0.018,Higher,0.016,1131,1067.3,1194.6,Higher,1282,1183.9,1381,Lower,22,23,21,33,,26.9,39,Lower,<0.001,Lower,0.036,23,17.8,30.1,Similar,0.908,Similar,0.336,11,7.8,15.7,Similar,0.861,Similar,0.679,25,20.4,30.1,Similar,0.162,Similar,0.053,12,,45.2,19,14,24.1,Similar,0.614,Similar,0.202,440,403.7,475.5,Lower,2.4,,Lower,1185,166.1,Similar,81.1,80.8,81.4,Similar
